	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
GCA_017703835.1_PDT000996623.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3100279	0	225	225	40414	40414	13779	13779	141372	141372	37.6	3.98	85.55	11	3044	1	168	3	0	0	0
GCA_017703855.1_PDT000996621.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3064506	0	238	238	34330	34330	12876	12876	180987	180987	37.6	4.09	85.76	11	3029	1	171	0	0	0	0
GCA_017703875.1_PDT000996618.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3072199	0	250	250	33689	33689	12288	12288	95905	95905	37.6	3.97	85.71	11	3029	1	170	1	0	0	0
GCA_017703895.1_PDT000996612.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3099432	0	217	217	32950	32950	14283	14283	149191	149191	37.6	4.07	85.51	11	3037	1	168	3	0	0	0
GCA_017703905.1_PDT000996617.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2998260	0	254	254	27570	27570	11804	11804	100060	100060	37.7	3.72	85.73	11	2980	1	171	0	0	0	0
GCA_017703935.1_PDT000996608.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3073539	0	217	217	35398	35398	14163	14163	180987	180987	37.6	3.92	85.6	11	3020	1	169	2	0	0	0
GCA_017703955.1_PDT000996598.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3042708	0	237	237	34869	34869	12838	12838	180987	180987	37.6	3.95	85.7	11	3009	1	171	0	0	0	0
GCA_017703975.1_PDT000996607.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3095328	0	213	213	38902	38902	14532	14532	180987	180987	37.6	3.99	85.59	11	3038	1	170	1	0	0	0
GCA_017703995.1_PDT000996603.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3062706	0	228	228	34706	34706	13432	13432	141372	141372	37.6	3.74	85.54	11	3008	1	171	0	0	0	0
GCA_017704015.1_PDT000996597.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3018104	0	188	188	34663	34663	16053	16053	116198	116198	37.7	4.02	85.44	11	2956	1	170	1	0	0	0
GCA_017704025.1_PDT000996601.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3108537	0	221	221	37552	37552	14065	14065	180987	180987	37.6	3.97	85.73	11	3073	1	168	3	0	0	0
GCA_017704055.1_PDT000996596.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3077226	0	251	251	35398	35398	12259	12259	157945	157945	37.6	3.81	85.85	11	3047	1	169	2	0	0	0
GCA_017704075.1_PDT000996592.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3042598	0	253	253	32168	32168	12026	12026	128964	128964	37.6	3.82	85.79	11	3007	1	171	0	0	0	0
GCA_017704095.1_PDT000996588.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3056437	0	276	276	23581	23581	11074	11074	95905	95905	37.7	3.64	86.01	11	3038	1	171	0	0	0	0
GCA_017704115.1_PDT000996583.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3084766	0	207	207	39223	39223	14902	14902	141372	141372	37.6	3.85	85.62	11	3017	1	169	2	0	0	0
GCA_017704135.1_PDT000996590.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2919664	0	209	209	32710	32710	13969	13969	84373	84373	37.7	3.25	86.05	11	2889	1	171	0	0	0	0
GCA_017704155.1_PDT000996587.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3006398	0	329	329	19126	19126	9137	9137	68343	68343	37.7	3.16	86.03	11	2993	1	171	0	0	0	0
GCA_017704175.1_PDT000996582.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3063063	0	199	199	34789	34789	15392	15392	148123	148123	37.7	3.51	85.59	11	3024	1	171	0	0	0	0
GCA_017704195.1_PDT000996575.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2957958	0	209	209	30230	30230	14152	14152	90226	90226	37.8	3.7	85.56	11	2887	1	171	0	0	0	0
GCA_017704215.1_PDT000996579.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	2932499	0	175	175	47469	47469	16757	16757	104224	104224	37.6	3.51	85.48	11	2878	1	170	1	0	0	0
GCA_017704235.1_PDT000996576.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2963485	0	208	208	31014	31014	14247	14247	82552	82552	37.8	3.89	85.57	11	2893	1	169	2	0	0	0
GCA_017704255.1_PDT000996574.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2966684	0	200	200	34115	34115	14833	14833	109454	109454	37.8	3.56	85.46	11	2889	1	169	2	0	0	0
GCA_017704275.1_PDT000996573.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2985380	0	202	202	32533	32533	14779	14779	116198	116198	37.8	3.8	85.53	11	2913	1	169	2	0	0	0
GCA_017704295.1_PDT000996747.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3073592	0	273	273	27144	27144	11258	11258	180987	180987	37.6	3.78	85.79	11	3037	1	171	0	0	0	0
GCA_017704315.1_PDT000996572.1	Firmicutes (1)	1349	172	99	98.99	4.04	100.0	2999313	0	191	191	34771	34771	15703	15703	109454	109454	37.8	3.97	85.45	11	2916	1	167	4	0	0	0
GCA_017704335.1_PDT000997020.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3055586	0	231	231	34626	34626	13227	13227	180987	180987	37.6	3.96	85.75	11	3026	1	171	0	0	0	0
GCA_017704355.1_PDT000996636.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3057955	0	231	231	37551	37551	13237	13237	180987	180987	37.6	3.81	85.66	11	3006	1	171	0	0	0	0
GCA_017704375.1_PDT000996610.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3073167	0	221	221	37214	37214	13905	13905	180987	180987	37.6	4.02	85.71	11	3025	1	168	3	0	0	0
GCA_017704395.1_PDT000996571.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3083139	0	195	195	34962	34962	15810	15810	148612	148612	37.7	3.3	85.64	11	3041	1	166	5	0	0	0
GCA_017704415.1_PDT000996569.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3093881	0	209	209	34330	34330	14803	14803	128987	128987	37.6	3.99	85.53	11	3041	1	168	3	0	0	0
GCA_017704435.1_PDT000996600.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3075045	0	219	219	35398	35398	14041	14041	180795	180795	37.6	3.76	85.6	11	3026	1	170	1	0	0	0
GCA_017704455.1_PDT000996570.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2977564	0	200	200	30521	30521	14887	14887	116707	116707	37.8	3.91	85.52	11	2904	1	171	0	0	0	0
GCA_017704475.1_PDT000996568.1	Firmicutes (1)	1349	172	99	98.99	4.04	100.0	3109358	0	207	207	38080	38080	15021	15021	180987	180987	37.6	4.01	85.58	11	3043	1	166	5	0	0	0
GCA_017704495.1_PDT000996567.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	2985923	0	187	187	34525	34525	15967	15967	116198	116198	37.8	3.77	85.47	11	2909	1	167	4	0	0	0
GCA_017704515.1_PDT000996566.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2968530	0	190	190	34771	34771	15623	15623	116198	116198	37.8	3.71	85.49	11	2892	1	171	0	0	0	0
GCA_017704535.1_PDT000996565.1	Firmicutes (1)	1349	172	99	98.99	4.04	100.0	3095169	0	230	230	30936	30936	13457	13457	101473	101473	37.6	3.77	85.61	11	3069	1	166	5	0	0	0
GCA_017704555.1_PDT000996563.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2998000	0	190	190	34118	34118	15778	15778	106529	106529	37.7	3.8	85.51	11	2925	1	169	2	0	0	0
GCA_017704575.1_PDT000996562.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3132869	0	240	240	38904	38904	13053	13053	120416	120416	37.6	3.9	85.67	11	3080	1	168	3	0	0	0
GCA_017704595.1_PDT000996561.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3105376	0	220	220	38904	38904	14115	14115	180987	180987	37.6	3.48	85.69	11	3050	1	168	3	0	0	0
GCA_017704615.1_PDT000996586.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3059696	0	271	271	25579	25579	11290	11290	95907	95907	37.7	3.77	85.84	11	3017	1	171	0	0	0	0
GCA_017704635.1_PDT000996584.1	Firmicutes (1)	1349	172	99	98.99	7.07	100.0	3271818	0	256	256	33009	33009	12780	12780	180840	180840	37.5	3.93	85.73	11	3274	1	163	8	0	0	0
GCA_017704655.1_PDT000996580.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3118989	0	223	223	40414	40414	13986	13986	180987	180987	37.6	4.1	85.67	11	3075	1	169	2	0	0	0
GCA_017704675.1_PDT000996581.1	Firmicutes (1)	1349	172	99	98.99	4.04	100.0	3112518	0	209	209	38904	38904	14892	14892	128929	128929	37.6	3.84	85.57	11	3054	1	166	5	0	0	0
GCA_017704685.1_PDT000996557.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3107945	0	242	242	31843	31843	12842	12842	180984	180984	37.6	3.84	85.64	11	3061	1	168	3	0	0	0
GCA_017704715.1_PDT000996556.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3037890	0	262	262	31842	31842	11595	11595	146938	146938	37.6	4.05	85.78	11	2996	1	171	0	0	0	0
GCA_017704735.1_PDT000996560.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2964406	0	294	294	23126	23126	10083	10083	81483	81483	37.7	3.69	85.5	11	3001	1	171	0	0	0	0
GCA_017704745.1_PDT000996555.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3068911	0	213	213	37000	37000	14408	14408	148331	148331	37.7	3.55	85.74	11	3035	1	166	5	0	0	0
GCA_017704775.1_PDT000996554.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3017507	0	202	202	34664	34664	14938	14938	116198	116198	37.7	3.78	85.49	11	2952	1	169	2	0	0	0
GCA_017704795.1_PDT000996553.1	Firmicutes (1)	1349	172	99	98.99	5.05	100.0	3084477	0	213	213	34962	34962	14481	14481	148807	148807	37.7	3.52	85.75	11	3050	1	166	5	0	0	0
GCA_017704815.1_PDT000996548.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3090758	0	202	202	34789	34789	15300	15300	148127	148127	37.7	3.49	85.65	11	3058	1	168	3	0	0	0
GCA_017704835.1_PDT000996546.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2984988	0	218	218	33263	33263	13692	13692	106903	106903	37.7	3.83	85.57	11	2926	1	171	0	0	0	0
GCA_017704845.1_PDT000996547.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2993617	0	223	223	31515	31515	13424	13424	116198	116198	37.7	3.65	85.55	11	2934	1	171	0	0	0	0
GCA_017704875.1_PDT000996550.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3123698	0	267	267	35151	35151	11699	11699	180987	180987	37.6	4.01	85.75	11	3099	1	170	1	0	0	0
GCA_017704895.1_PDT000996552.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3029448	0	223	223	36230	36230	13584	13584	148135	148135	37.7	3.42	85.77	11	2999	1	171	0	0	0	0
GCA_017704915.1_PDT000996545.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3006465	0	219	219	31000	31000	13728	13728	106903	106903	37.7	3.78	85.53	11	2948	1	169	2	0	0	0
GCA_017704935.1_PDT000996541.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3130332	0	236	236	38011	38011	13264	13264	180987	180987	37.6	3.89	85.61	11	3078	1	169	2	0	0	0
GCA_017704955.1_PDT000996542.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3097303	0	250	250	31842	31842	12389	12389	130207	130207	37.6	3.83	85.6	11	3060	1	169	2	0	0	0
GCA_017704975.1_PDT000996539.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3097917	0	230	230	39259	39259	13469	13469	180977	180977	37.6	3.83	85.6	11	3042	1	170	1	0	0	0
GCA_017704995.1_PDT000996540.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3106812	0	225	225	37551	37551	13808	13808	180986	180986	37.6	4.02	85.62	11	3061	1	171	0	0	0	0
GCA_017705015.1_PDT000996536.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3043207	0	242	242	29749	29749	12575	12575	129058	129058	37.7	3.49	85.63	11	3009	1	171	0	0	0	0
GCA_017705035.1_PDT000996538.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3050909	0	235	235	32497	32497	12982	12982	148339	148339	37.7	3.68	85.79	11	3026	1	166	5	0	0	0
GCA_017705055.1_PDT000996537.1	Firmicutes (1)	1349	172	99	98.99	4.04	100.0	3110747	0	198	198	37151	37151	15710	15710	148111	148111	37.7	3.41	85.66	11	3072	1	167	4	0	0	0
GCA_017705075.1_PDT000996533.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3101096	0	220	220	39259	39259	14095	14095	180987	180987	37.6	4.0	85.55	11	3037	1	168	3	0	0	0
GCA_017705095.1_PDT000996532.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3090708	0	219	219	34841	34841	14112	14112	148137	148137	37.7	3.24	85.58	11	3057	1	169	2	0	0	0
GCA_017705115.1_PDT000996531.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3060661	0	210	210	42953	42953	14574	14574	129164	129164	37.6	3.7	85.45	11	3012	1	171	0	0	0	0
GCA_017705135.1_PDT000996529.1	Firmicutes (1)	1349	172	99	98.99	4.04	100.0	3102997	0	231	231	38903	38903	13432	13432	180987	180987	37.6	3.9	85.61	11	3050	1	168	0	3	0	0
GCA_017705155.1_PDT000996530.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	2952433	0	208	208	38688	38688	14194	14194	160396	160396	37.8	3.96	85.63	11	2894	1	169	2	0	0	0
GCA_017705175.1_PDT000996526.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3142853	0	220	220	35882	35882	14285	14285	148129	148129	37.5	3.45	85.61	11	3149	1	169	2	0	0	0
GCA_017705195.1_PDT000996527.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3093010	0	230	230	34330	34330	13447	13447	128968	128968	37.6	3.93	85.56	11	3038	1	168	3	0	0	0
GCA_017705215.1_PDT000996525.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3020490	0	274	274	24575	24575	11023	11023	180977	180977	37.6	3.71	85.71	11	2984	1	171	0	0	0	0
GCA_017705235.1_PDT000996523.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3076651	0	267	267	27937	27937	11523	11523	128945	128945	37.6	3.62	85.91	11	3041	1	169	2	0	0	0
GCA_017705255.1_PDT000996524.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3084485	0	232	232	33526	33526	13295	13295	180987	180987	37.6	3.51	85.59	11	3034	1	171	0	0	0	0
GCA_017705275.1_PDT000996521.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3073038	0	259	259	26464	26464	11865	11865	128940	128940	37.7	3.81	85.72	11	3031	1	169	2	0	0	0
GCA_017705295.1_PDT000996520.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3282944	0	333	333	40376	40376	9858	9858	110571	110571	37.5	3.88	85.54	11	3374	1	170	1	0	0	0
GCA_017705315.1_PDT000996516.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3030691	0	212	212	34962	34962	14295	14295	148816	148816	37.7	3.43	85.64	11	2995	1	171	0	0	0	0
GCA_017705335.1_PDT000996514.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3046440	0	207	207	37146	37146	14717	14717	148638	148638	37.7	3.44	85.71	11	3011	1	171	0	0	0	0
GCA_017705355.1_PDT000997112.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3081521	0	221	221	39259	39259	13943	13943	141371	141371	37.6	3.82	85.64	11	3012	1	168	3	0	0	0
GCA_017705375.1_PDT000996518.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3033553	0	227	227	31894	31894	13363	13363	106951	106951	37.7	3.74	85.14	11	3041	1	171	0	0	0	0
GCA_017705395.1_PDT000996515.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3102176	0	214	214	37000	37000	14496	14496	148135	148135	37.7	3.58	85.62	11	3064	1	166	5	0	0	0
GCA_017705415.1_PDT000997076.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3068626	0	207	207	34118	34118	14824	14824	148633	148633	37.7	3.29	85.61	11	3039	1	166	5	0	0	0
GCA_017705435.1_PDT000997103.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2969877	0	284	284	22760	22760	10457	10457	68230	68230	37.8	3.51	85.81	11	2931	1	171	0	0	0	0
GCA_017705455.1_PDT000997098.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3056488	0	461	461	13756	13756	6630	6630	57303	57303	37.6	3.31	86.33	11	3126	1	171	0	0	0	0
GCA_017705475.1_PDT000997057.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3042937	0	281	281	24495	24495	10828	10828	105339	105339	37.6	3.92	85.91	11	3022	1	171	0	0	0	0
GCA_017705495.1_PDT000996814.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3063149	0	238	238	35400	35400	12870	12870	180795	180795	37.6	3.82	85.65	11	3011	1	171	0	0	0	0
GCA_017705515.1_PDT000997007.1	Firmicutes (1)	1349	172	99	98.99	6.06	100.0	3173367	0	219	219	34962	34962	14490	14490	148639	148639	37.6	3.37	85.57	11	3157	1	163	8	0	0	0
GCA_017705535.1_PDT000997022.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2990156	0	284	284	29148	29148	10528	10528	143692	143692	37.8	3.98	85.49	11	2994	1	171	0	0	0	0
GCA_017705555.1_PDT000996808.1	Firmicutes (1)	1349	172	99	98.99	6.06	100.0	3161093	0	232	232	34873	34873	13625	13625	148135	148135	37.7	3.46	85.76	11	3137	1	164	7	0	0	0
GCA_017705575.1_PDT000996777.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3061147	0	236	236	34118	34118	12970	12970	148137	148137	37.7	3.44	85.65	11	3034	1	168	3	0	0	0
GCA_017705595.1_PDT000996772.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3068991	0	289	289	28030	28030	10619	10619	179997	179997	37.6	3.7	85.95	11	3038	1	171	0	0	0	0
GCA_017705615.1_PDT000996753.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3008190	0	286	286	23044	23044	10518	10518	103367	103367	37.6	3.53	85.85	11	2972	1	171	0	0	0	0
GCA_017705635.1_PDT000996746.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3099218	0	279	279	31362	31362	11108	11108	180987	180987	37.6	3.76	85.85	11	3082	1	170	1	0	0	0
GCA_017705655.1_PDT000996727.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2867398	0	198	198	36044	36044	14481	14481	160396	160396	37.8	4.0	85.63	11	2807	1	171	0	0	0	0
GCA_017705675.1_PDT000996705.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3077364	0	235	235	37542	37542	13095	13095	180987	180987	37.6	4.0	85.75	11	3037	1	169	2	0	0	0
GCA_017705695.1_PDT000996646.1	Firmicutes (1)	1349	172	99	98.99	2.53	75.0	3073533	0	210	210	38902	38902	14635	14635	141372	141372	37.6	4.04	85.65	11	3014	1	167	4	0	0	0
GCA_017705715.1_PDT000996656.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3108923	0	245	245	34397	34397	12689	12689	180987	180987	37.6	4.0	85.78	11	3065	1	168	3	0	0	0
GCA_017705735.1_PDT000996659.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3051567	0	205	205	37151	37151	14885	14885	148844	148844	37.7	3.53	85.74	11	3021	1	170	1	0	0	0
GCA_017705755.1_PDT000996686.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3105163	0	212	212	44939	44939	14646	14646	180987	180987	37.6	3.86	85.56	11	3044	1	168	3	0	0	0
GCA_017705775.1_PDT000996630.1	Firmicutes (1)	1349	172	99	98.99	3.03	100.0	3147342	0	207	207	38249	38249	15204	15204	148580	148580	37.5	3.4	85.61	11	3138	1	168	3	0	0	0
GCA_017705795.1_PDT000996625.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3068673	0	234	234	35398	35398	13113	13113	180987	180987	37.6	4.07	85.68	11	3028	1	169	2	0	0	0
GCA_017705815.1_PDT000996629.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3080052	0	225	225	35398	35398	13689	13689	180987	180987	37.6	3.8	85.69	11	3019	1	170	1	0	0	0
GCA_017705835.1_PDT000996624.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3097900	0	228	228	38902	38902	13587	13587	180987	180987	37.6	4.08	85.68	11	3050	1	168	3	0	0	0
GCA_017705855.1_PDT000996620.1	Firmicutes (1)	1349	172	99	98.99	1.52	100.0	3093043	0	232	232	34643	34643	13332	13332	180987	180987	37.6	3.96	85.74	11	3045	1	169	2	0	0	0
GCA_017705875.1_PDT000996595.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3082226	0	218	218	33817	33817	14138	14138	180987	180987	37.6	3.93	85.8	11	3038	1	169	2	0	0	0
GCA_017705895.1_PDT000996594.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2940779	0	196	196	34665	34665	15003	15003	107513	107513	37.7	3.54	85.95	11	2899	1	171	0	0	0	0
GCA_017705915.1_PDT000996585.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3100056	0	230	230	31843	31843	13478	13478	130758	130758	37.6	3.93	85.85	11	3056	1	170	1	0	0	0
GCA_017705935.1_PDT000996549.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3036473	0	219	219	32533	32533	13865	13865	139659	139659	37.7	3.57	85.54	11	2988	1	171	0	0	0	0
GCA_017705955.1_PDT000996544.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3002621	0	237	237	28573	28573	12669	12669	85899	85899	37.7	3.7	85.58	11	2956	1	171	0	0	0	0
GCA_017705975.1_PDT000996558.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3061359	0	236	236	34636	34636	12971	12971	180987	180987	37.6	3.74	85.56	11	3005	1	169	2	0	0	0
GCA_017705995.1_PDT000996528.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3084182	0	229	229	39223	39223	13468	13468	180987	180987	37.6	3.8	85.61	11	3021	1	169	2	0	0	0
GCA_017706015.1_PDT000996543.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3003903	0	209	209	34115	34115	14372	14372	107484	107484	37.7	3.58	85.52	11	2941	1	171	0	0	0	0
GCA_017706035.1_PDT000996511.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2900623	0	201	201	34962	34962	14430	14430	148135	148135	37.7	3.53	85.54	11	2849	1	171	0	0	0	0
GCA_017706055.1_PDT000996510.1	Firmicutes (1)	1349	172	99	98.99	4.04	100.0	3155061	0	202	202	37146	37146	15619	15619	148115	148115	37.6	3.65	85.54	11	3147	1	165	6	0	0	0
GCA_017706075.1_PDT000996506.1	Firmicutes (1)	1349	172	99	98.99	4.04	100.0	3139794	0	209	209	32873	32873	15022	15022	148073	148073	37.6	3.55	85.68	11	3131	1	167	4	0	0	0
GCA_017706085.1_PDT000996509.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3121223	0	241	241	34636	34636	12951	12951	180795	180795	37.6	4.03	85.61	11	3077	1	168	3	0	0	0
GCA_017706115.1_PDT000996508.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	2945234	0	252	252	27289	27289	11687	11687	107513	107513	37.8	3.71	85.7	11	2896	1	171	0	0	0	0
GCA_017706135.1_PDT000996504.1	Firmicutes (1)	1349	172	99	98.99	4.04	100.0	3079024	0	196	196	37146	37146	15709	15709	148686	148686	37.7	3.43	85.66	11	3038	1	165	6	0	0	0
GCA_017706155.1_PDT000996500.1	Firmicutes (1)	1349	172	99	98.99	6.06	100.0	3134401	0	192	192	37016	37016	16325	16325	148579	148579	37.7	3.28	85.75	11	3088	1	163	8	0	0	0
GCA_017706175.1_PDT000996505.1	Firmicutes (1)	1349	172	99	98.99	0.0	0.0	3085737	0	334	334	23625	23625	9238	9238	98189	98189	37.6	3.49	85.94	11	3133	1	171	0	0	0	0
GCA_017706195.1_PDT000996503.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3119254	0	259	259	26585	26585	12043	12043	146330	146330	37.6	3.67	85.64	11	3133	1	168	3	0	0	0
GCA_017706215.1_PDT000996501.1	Firmicutes (1)	1349	172	99	98.99	6.06	100.0	3200814	0	205	205	34962	34962	15613	15613	148077	148077	37.5	3.27	85.69	11	3197	1	163	8	0	0	0
GCA_017706235.1_PDT000996499.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3112424	0	212	212	39259	39259	14681	14681	128958	128958	37.6	3.85	85.46	11	3053	1	169	2	0	0	0
GCA_017706255.1_PDT000996494.1	Firmicutes (1)	1349	172	99	98.99	7.07	100.0	3149748	0	206	206	37000	37000	15290	15290	148125	148125	37.7	3.51	85.67	11	3109	1	161	10	0	0	0
GCA_017706275.1_PDT000996495.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3039250	0	228	228	27622	27622	13330	13330	145311	145311	37.7	3.61	85.8	11	3012	1	168	3	0	0	0
GCA_017706285.1_PDT000996498.1	Firmicutes (1)	1349	172	99	98.99	10.1	100.0	3153541	0	205	205	34962	34962	15383	15383	148129	148129	37.7	3.5	85.69	11	3111	1	158	13	0	0	0
GCA_017706315.1_PDT000996493.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3080399	0	202	202	37148	37148	15249	15249	148636	148636	37.7	3.38	85.61	11	3043	1	168	3	0	0	0
GCA_017706335.1_PDT000996492.1	Firmicutes (1)	1349	172	99	98.99	5.05	100.0	3103899	0	200	200	34119	34119	15519	15519	148105	148105	37.7	3.2	85.61	11	3069	1	164	7	0	0	0
GCA_017706355.1_PDT000996486.1	Firmicutes (1)	1349	172	99	98.99	1.01	100.0	3021253	0	229	229	29695	29695	13193	13193	101673	101673	37.7	4.04	85.62	11	3021	1	170	1	0	0	0
GCA_017706375.1_PDT000996491.1	Firmicutes (1)	1349	172	99	98.99	2.02	100.0	3108050	0	212	212	34962	34962	14660	14660	149359	149359	37.6	3.63	85.73	11	3096	1	169	2	0	0	0
GCA_017706395.1_PDT000996490.1	Firmicutes (1)	1349	172	99	98.99	9.09	100.0	3125882	0	202	202	37148	37148	15474	15474	148125	148125	37.7	3.51	85.62	11	3082	1	159	12	0	0	0
GCA_017706415.1_PDT000996484.1	Firmicutes (1)	1349	172	99	98.99	4.04	100.0	3122838	0	223	223	45428	45428	14003	14003	116201	116201	37.6	3.92	85.5	11	3121	1	166	5	0	0	0
GCA_017706435.1_PDT000996483.1	Firmicutes (1)	1349	172	99	98.99	10.1	100.0	3165786	0	206	206	37016	37016	15367	15367	148135	148135	37.7	3.54	85.66	11	3124	1	158	13	0	0	0
